100 mil;Bubble;Insertion;Selection;Busca Linear;Busca Bin�ria
1;7.503.241.615;5.006.583.230;5.000.049.986;7.982;5.006.583.246
2;7.501.244.576;5.002.589.152;5.000.049.991;15.477;5.002.589.162
3;12.517.352.946;5.011.701.963;5.001.244.601;14.931;5.001.170.198
4;12.516.382.827;5.011.055.217;5.001.252.112;61.865;5.011.055.234
5;12.508.835.583;5.006.023.721;5.001.261.886;14.827;5.006.023.738
6;12.493.796.571;4.995.997.713;5.001.255.272;22.247;4.995.997.728
7;12.512.252.919;5.008.301.945;5.001.256.671;3.262;5.008.301.962
8;12.507.630.474;5.005.220.315;5.001.257.937;76.175;5.005.220.330
9;12.502.801.599;5.002.001.065;5.001.252.968;4.224;5.002.001.079
10;12.483.641.142;4.989.227.427;5.001.247.019;99.594;4.989.227.444
11;12.502.215.843;5.001.610.561;5.001.249.743;55.745;5.001.610.577
12;12.456.385.533;4.971.057.021;5.001.255.411;93.850;4.971.057.037
13;12.499.127.433;4.999.551.621;5.001.250.706;96.119;4.999.551.637
14;12.500.302.428;5.000.334.951;5.001.257.405;79.189;5.000.334.967
15;12.479.377.038;4.986.384.691;5.001.246.375;50.065;4.986.384.708
16;12.491.546.112;4.994.497.407;5.001.253.313;84.980;4.994.497.416
17;12.488.101.410;4.992.200.939;5.001.249.966;82.003;4.992.200.955
18;12.500.810.796;5.000.673.863;5.001.249.263;23.426;5.000.673.877
19;12.495.848.043;4.997.365.361;5.001.244.378;37.094;4.997.365.377
20;12.477.228.189;4.984.952.125;5.001.259.581;6.714;4.984.952.139
21;12.492.598.347;4.995.198.897;5.001.256.883;17.501;4.995.198.912
22;12.517.958.301;5.012.105.533;5.001.253.058;5.500;5.012.105.550
23;12.473.416.533;4.982.411.021;5.001.247.224;63.146;4.982.411.038
24;12.486.600.948;4.991.200.631;5.001.257.428;19.872;4.991.200.646
25;12.485.649.780;4.990.566.519;5.001.259.274;22.826;4.990.566.535
26;12.503.745.918;5.002.630.611;5.001.256.822;11.088;5.002.630.628
27;12.472.381.839;4.981.721.225;5.001.255.960;7.185;4.981.721.234
28;12.484.100.505;4.989.533.669;5.001.254.462;1.366;4.989.533.685
29;12.503.194.194;5.002.262.795;5.001.252.175;37.888;5.002.262.811
30;12.522.898.353;5.015.398.901;5.001.263.426;28.962;5.015.398.918
