1.6 milhão;Bubble;Insertion;Selection;Busca Linear;Busca Binária
1;3.200.415.798.039;1.279.926.386.875;1.280.024.569.399;1.436.344;1.280.064.050.844
2;3.199.543.553.640;1.279.441.289.945;1.280.024.551.339;829.100;1.280.431.455.428
3;3.201.171.096.288;1.279.904.028.343;1.280.024.518.384;701.021;1.280.143.177.298
4;3.200.951.530.830;1.279.976.304.103;1.280.024.505.732;959.108;1.278.617.182.778
5;3.199.411.327.782;1.279.922.365.811;1.280.024.526.980;146.070;1.279.300.577.517
6;3.200.613.666.312;1.280.411.244.207;1.280.024.547.756;56.133;1.280.411.244.227
7;3.200.474.511.588;1.280.318.474.391;1.280.024.541.128;989.196;1.280.318.474.409
8;3.199.524.021.309;1.279.684.814.205;1.280.024.492.484;1.006.167;1.279.684.814.225
9;3.198.779.318.070;1.279.188.345.379;1.280.024.569.191;127.028;1.279.188.345.399
10;3.200.048.145.501;1.280.034.230.333;1.280.024.523.493;125.935;1.280.034.230.353
