400 mil;Bubble;Insertion;Selection;Busca Linear;Busca Binária
1;199.870.296.834;80.112.196.763;80.005.573.196;318.623;80.063.156.696
2;200.086.214.982;79.996.501.765;80.005.588.949;66.566;79.909.951.810
3;199.905.261.513;80.058.178.827;80.005.591.383;206.722;79.961.359.194
4;200.147.031.984;80.032.118.573;80.005.584.075;377.647;80.073.197.322
5;200.002.836.414;80.055.845.175;80.005.575.146;130.394;79.963.023.396
6;199.958.051.910;80.054.557.435;80.005.600.804;79.448;80.115.385.100
7;200.086.142.250;79.958.696.193;80.005.565.545;338.952;79.990.901.950
8;199.932.014.076;80.018.604.471;80.005.566.390;334.780;79.985.707.294
9;200.244.604.275;79.950.929.415;80.005.574.592;22.269;79.965.259.365
10;199.985.218.638;79.972.484.881;80.005.581.385;110.773;80.184.416.292
11;200.214.574.797;79.966.813.033;80.005.563.845;62.056;80.037.098.472
12;200.077.790.535;79.916.431.673;80.005.556.636;292.383;80.098.097.757
13;199.969.335.564;80.071.788.555;80.005.603.721;79.655;80.100.042.484
14;199.864.557.903;79.920.446.797;80.005.574.252;183.638;79.926.197.521
15;200.175.052.158;80.078.031.565;80.005.602.175;144.073;79.961.555.380
16;199.875.299.394;80.068.748.011;80.005.589.000;374.758;80.013.168.251
17;199.908.886.908;79.870.170.711;80.005.585.657;340.737;80.105.798.529
18;200.075.661.321;79.958.035.229;80.005.597.801;16.110;80.028.155.581
19;200.002.709.823;80.079.061.309;80.005.550.146;212.934;80.008.732.677
20;200.010.386.502;80.003.378.595;80.005.603.113;172.255;80.159.831.406
21;200.021.539.245;80.059.516.171;80.005.557.741;175.741;79.849.734.774
22;200.081.713.353;79.913.513.259;80.005.560.422;75.988;79.976.442.512
23;199.962.666.906;80.027.289.771;80.005.572.660;394.152;80.116.503.563
24;199.855.617.249;80.040.180.251;80.005.623.996;128.498;80.157.234.196
25;200.010.454.656;80.192.082.315;80.005.581.337;258.063;80.071.285.364
26;200.032.944.543;79.873.533.501;80.005.596.146;240.946;80.050.513.120
27;199.641.530.631;79.892.572.199;80.005.577.645;111.131;80.065.975.790
28;200.130.318.411;80.006.987.931;80.005.599.953;256.040;79.967.487.662
29;200.099.354.856;80.121.950.987;80.005.598.741;280.496;79.904.794.975
30;199.962.591.924;79.921.721.975;80.005.577.766;260.397;79.975.657.304
